state,population,year,stateyear,justifiable,syg,syg_ever,justifiable100K,murderper100K
Oklahoma,3687050,2009,Oklahoma2009,5,1,1,1.36,6.3
Oklahoma,3760184,2010,Oklahoma2010,6,1,1,1.6,5.2
Oregon,3470382,2001,Oregon2001,5,0,1,1.44,2.4
Oregon,3517111,2002,Oregon2002,2,0,1,0.57,2
Oregon,3550180,2003,Oregon2003,4,0,1,1.13,1.9
Oregon,3573505,2004,Oregon2004,1,0,1,0.28,2.5
Oregon,3617869,2005,Oregon2005,3,0,1,0.83,2.2
Oregon,3677545,2006,Oregon2006,8,0,1,2.18,2.3
Oregon,3732957,2007,Oregon2007,,1,1,0,1.9
Oregon,3782991,2008,Oregon2008,4,1,1,1.06,2.2
Oregon,3825657,2009,Oregon2009,4,1,1,1.05,2.3
Oregon,3838332,2010,Oregon2010,4,1,1,1.04,2.4
South Carolina,4062701,2001,South Carolina2001,,0,1,0,6.3
South Carolina,4103934,2002,South Carolina2002,3,0,1,0.73,7.3
South Carolina,4146474,2003,South Carolina2003,7,0,1,1.69,7.2
South Carolina,4201306,2004,South Carolina2004,4,0,1,0.95,6.9
South Carolina,4256199,2005,South Carolina2005,4,0,1,0.94,7.4
South Carolina,4339399,2006,South Carolina2006,7,1,1,1.61,8.3
South Carolina,4424232,2007,South Carolina2007,6,1,1,1.36,8
South Carolina,4503280,2008,South Carolina2008,10,1,1,2.22,6.8
South Carolina,4561242,2009,South Carolina2009,11,1,1,2.41,6.7
South Carolina,4637106,2010,South Carolina2010,8,1,1,1.73,6.1
Tennessee,5755443,2001,Tennessee2001,19,0,1,3.3,7.4
Tennessee,5803306,2002,Tennessee2002,21,0,1,3.62,7.2
Tennessee,5856522,2003,Tennessee2003,26,0,1,4.44,6.8
Tennessee,5916762,2004,Tennessee2004,19,0,1,3.21,5.9
Tennessee,5995748,2005,Tennessee2005,28,0,1,4.67,7.2
Tennessee,6089453,2006,Tennessee2006,14,0,1,2.3,6.8
Tennessee,6172862,2007,Tennessee2007,31,1,1,5.02,6.4
Tennessee,6240456,2008,Tennessee2008,25,1,1,4.01,6.6
Tennessee,6296254,2009,Tennessee2009,14,1,1,2.22,7.4
Tennessee,6357436,2010,Tennessee2010,28,1,1,4.4,5.6
Texas,21332847,2001,Texas2001,19,0,1,0.89,6.2
Texas,21710788,2002,Texas2002,23,0,1,1.06,6
Texas,22057801,2003,Texas2003,31,0,1,1.41,6.4
Texas,22418319,2004,Texas2004,32,0,1,1.43,6.1
Texas,22801920,2005,Texas2005,23,0,1,1.01,6.2
Texas,23369024,2006,Texas2006,32,0,1,1.37,5.9
Texas,23837701,2007,Texas2007,41,1,1,1.72,5.9
Texas,24304290,2008,Texas2008,44,1,1,1.81,5.6
Texas,24782302,2009,Texas2009,51,1,1,2.06,5.4
Texas,25253466,2010,Texas2010,48,1,1,1.9,5
Utah,2291250,2001,Utah2001,,0,1,0,3
Utah,2334473,2002,Utah2002,,1,1,0,2
Utah,2379938,2003,Utah2003,,1,1,0,2.5
Utah,2438915,2004,Utah2004,,1,1,0,1.9
Utah,2499637,2005,Utah2005,2,1,1,0.8,2.3
Utah,2583724,2006,Utah2006,1,1,1,0.39,1.8
Utah,2663796,2007,Utah2007,,1,1,0,2.2
Utah,2727343,2008,Utah2008,,1,1,0,1.4
Utah,2784572,2009,Utah2009,,1,1,0,1.4
Utah,2775479,2010,Utah2010,1,1,1,0.36,1.9
Washington,5987785,2001,Washington2001,9,0,1,1.5,3
Washington,6056187,2002,Washington2002,10,0,1,1.65,3
Washington,6113262,2003,Washington2003,5,1,1,0.82,3
Washington,6184289,2004,Washington2004,,1,1,0,3.1
Washington,6261282,2005,Washington2005,2,1,1,0.32,3.3
Washington,6372243,2006,Washington2006,4,1,1,0.63,3
Washington,6464979,2007,Washington2007,3,1,1,0.46,2.7
Washington,6566073,2008,Washington2008,1,1,1,0.15,2.9
Washington,6664195,2009,Washington2009,3,1,1,0.45,2.9
Washington,6742950,2010,Washington2010,2,1,1,0.3,2.3
West Virginia,1798582,2001,West Virginia2001,,0,1,,2.2
West Virginia,1799411,2002,West Virginia2002,,0,1,,3.2
West Virginia,1802238,2003,West Virginia2003,,0,1,,3.5
West Virginia,1803302,2004,West Virginia2004,,0,1,,3.7
West Virginia,1803920,2005,West Virginia2005,,0,1,,4.4
West Virginia,1807237,2006,West Virginia2006,,0,1,,4.1
West Virginia,1811198,2007,West Virginia2007,,0,1,,3.5
West Virginia,1814873,2008,West Virginia2008,,1,1,,3.3
West Virginia,1819777,2009,West Virginia2009,,1,1,,4.6
West Virginia,1854368,2010,West Virginia2010,,1,1,,3.3
